repo_name,is_opt_final,is_opt_arch_keyword,is_opt_arch_llm,is_opt_arch_final
phxrpc,文件不存在,文件不存在,文件不存在,文件不存在
phyml,0,0,0,0
phyphox-android,文件不存在,文件不存在,文件不存在,文件不存在
physfs,2,1,1,0
physlock,文件不存在,文件不存在,文件不存在,文件不存在
phytool,文件不存在,文件不存在,文件不存在,文件不存在
phyx,文件不存在,文件不存在,文件不存在,文件不存在
pi,文件不存在,文件不存在,文件不存在,文件不存在
pi-as-keyboard,文件不存在,文件不存在,文件不存在,文件不存在
pi-defender,文件不存在,文件不存在,文件不存在,文件不存在
pi-list,文件不存在,文件不存在,文件不存在,文件不存在
pi-pico2-linux,文件不存在,文件不存在,文件不存在,文件不存在
pi-rc,文件不存在,文件不存在,文件不存在,文件不存在
pi400kb,文件不存在,文件不存在,文件不存在,文件不存在
piVCCU,文件不存在,文件不存在,文件不存在,文件不存在
pi_sniffer,文件不存在,文件不存在,文件不存在,文件不存在
pianobar,1,0,0,0
pic32prog,0,0,0,0
picam,0,0,0,0
picasso,文件不存在,文件不存在,文件不存在,文件不存在
piccante,0,0,0,0
pichi,0,0,0,0
pick,2,1,1,0
pick-place-robot,文件不存在,文件不存在,文件不存在,文件不存在
pickl3,文件不存在,文件不存在,文件不存在,文件不存在
piclone,0,0,0,0
pico,文件不存在,文件不存在,文件不存在,文件不存在
pico-56,文件不存在,文件不存在,文件不存在,文件不存在
pico-WSPR-tx,0,0,0,0
pico-bootrom-rp2040,文件不存在,文件不存在,文件不存在,文件不存在
pico-bootrom-rp2350,文件不存在,文件不存在,文件不存在,文件不存在
pico-dco,文件不存在,文件不存在,文件不存在,文件不存在
pico-debug,文件不存在,文件不存在,文件不存在,文件不存在
pico-dirtyJtag,文件不存在,文件不存在,文件不存在,文件不存在
pico-env-mon,文件不存在,文件不存在,文件不存在,文件不存在
pico-examples,文件不存在,文件不存在,文件不存在,文件不存在
pico-extras,文件不存在,文件不存在,文件不存在,文件不存在
pico-fido,文件不存在,文件不存在,文件不存在,文件不存在
pico-hsm,0,0,0,0
pico-infonesPlus,文件不存在,文件不存在,文件不存在,文件不存在
pico-mac,文件不存在,文件不存在,文件不存在,文件不存在
pico-mposite,文件不存在,文件不存在,文件不存在,文件不存在
pico-playground,0,0,0,0
pico-pwm-audio,文件不存在,文件不存在,文件不存在,文件不存在
pico-rectangle,0,0,0,0
pico-rmii-ethernet,文件不存在,文件不存在,文件不存在,文件不存在
pico-rmii-ethernet_nce,文件不存在,文件不存在,文件不存在,文件不存在
pico-rv32ima,文件不存在,文件不存在,文件不存在,文件不存在
pico-sdk,0,0,0,0
pico-serprog,文件不存在,文件不存在,文件不存在,文件不存在
pico-ssd1306,文件不存在,文件不存在,文件不存在,文件不存在
pico-stuff,文件不存在,文件不存在,文件不存在,文件不存在
pico-tflmicro,文件不存在,文件不存在,文件不存在,文件不存在
pico-tpmsniffer,文件不存在,文件不存在,文件不存在,文件不存在
pico-uart-bridge,0,0,0,0
pico-zxspectrum,0,0,0,0
pico9918,0,0,0,0
picoTracker,0,0,0,0
pico_headers,1,0,0,0
pico_i2c_slave,文件不存在,文件不存在,文件不存在,文件不存在
picobench,文件不存在,文件不存在,文件不存在,文件不存在
picoc,0,0,0,0
picoclock,文件不存在,文件不存在,文件不存在,文件不存在
picocom,0,0,0,0
picodrive,3,1,1,1
picogus,0,0,0,0
picohttpparser,1,1,1,1
picojson,0,0,0,0
picolibc,14,4,4,0
picom,1,0,0,0
picongpu,10,0,0,0
picoquic,0,0,0,0
picoruby,0,0,0,0
picorvd,文件不存在,文件不存在,文件不存在,文件不存在
picostation,文件不存在,文件不存在,文件不存在,文件不存在
picostepseq,文件不存在,文件不存在,文件不存在,文件不存在
picosystem,0,0,0,0
picotcp,1,0,0,0
picotls,0,0,0,0
picotool,0,0,0,0
picotorrent,0,0,0,0
picotts,文件不存在,文件不存在,文件不存在,文件不存在
picowota,文件不存在,文件不存在,文件不存在,文件不存在
picsimlab,0,0,0,0
pict,文件不存在,文件不存在,文件不存在,文件不存在
pid,文件不存在,文件不存在,文件不存在,文件不存在
pidgin-opensteamworks,0,0,0,0
pierce,文件不存在,文件不存在,文件不存在,文件不存在
pifs,文件不存在,文件不存在,文件不存在,文件不存在
pig,0,0,0,0
pigasus,文件不存在,文件不存在,文件不存在,文件不存在
pigfx,文件不存在,文件不存在,文件不存在,文件不存在
pigpio,文件不存在,文件不存在,文件不存在,文件不存在
pigweed,2,1,1,0
pigz,0,0,0,0
pihpsdr,0,0,0,0
pik,文件不存在,文件不存在,文件不存在,文件不存在
pika,3,0,0,0
pikchr,文件不存在,文件不存在,文件不存在,文件不存在
pikiwidb,文件不存在,文件不存在,文件不存在,文件不存在
pikiwidb-raft,文件不存在,文件不存在,文件不存在,文件不存在
pikoRT,文件不存在,文件不存在,文件不存在,文件不存在
pikrellcam,文件不存在,文件不存在,文件不存在,文件不存在
piksi_firmware,1,0,0,0
pili-librtmp,文件不存在,文件不存在,文件不存在,文件不存在
pilight,0,0,0,0
pilk,文件不存在,文件不存在,文件不存在,文件不存在
pillScopePlus,文件不存在,文件不存在,文件不存在,文件不存在
pill_serial,文件不存在,文件不存在,文件不存在,文件不存在
pillow-resize,文件不存在,文件不存在,文件不存在,文件不存在
pimd,0,0,0,0
pimidi,0,0,0,0
pimiibo,文件不存在,文件不存在,文件不存在,文件不存在
pimoroni-pico,1,0,0,0
